input,output
"As the social media manager for 'tim hortons' (Twitter: @TimHortonsPH), create a tweet using the following keywords: ['saturday', 'morning', 'well', 'make']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Spend your weekend morning with a Ham, Egg, and Cheese Wrap paired with a sweet Iced French Vanilla! ☀️ Order yours now via dine-in, takeout, and delivery. #TimHortonsPH <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndyMusic), create a tweet using the following keywords: ['man', 'dreadlock', 'hold', 'hand', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 2750 likes.",Watch rapper <mention> freestyle for over an HOUR <hyperlink> <hyperlink>
"As the social media manager for 'cbc' (Twitter: @CBCCanada), create a tweet using the following keywords: ['soldier', 'clear', 'field', 'pipe', 'clear']. Craft a message that aligns with our brand and is likely to receive at least 57 likes.",Canadian Armenian community demands ban on military drone tech exports to Turkey <hyperlink> <hyperlink>
"As the social media manager for 'williams' (Twitter: @MKWilliamsRome), create a tweet using the following keywords: ['crowded', 'beach', 'people', 'umbrella']. Craft a message that aligns with our brand and is likely to receive at least 152 likes.","1st in Europe to be devastated by COVID-19, Italy redoubled its efforts, and they're now paying off. My latest. 👇🏼👇🏼
<hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @BGISD), create a tweet using the following keywords: ['man', 'woman', 'stand', 'crowd', 'hold', 'certificate', 'stand', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 41 likes.",Congratulations to Pauletha Butts of <mention>! She was presented a Beyond the Call Award for her leadership and planning last week’s Cultural Diversity Night! #excellenceisworththeeffort <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['lagos', 'state', 'university', 'lago']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",LASU Celebrates New Dawn Of Unbroken Peace As Law Faculty Presents Book On Fagbohun <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnni), create a tweet using the following keywords: ['elderly', 'man', 'help', 'police', 'officer', 'help']. Craft a message that aligns with our brand and is likely to receive at least 572 likes.","A 95-year-old World War II veteran says he was so saddened by the horrific mosque attacks in Christchurch, New Zealand, that he took four buses to attend a solidarity march against racism in Auckland. <hyperlink> <hyperlink>"
"As the social media manager for 'getty images' (Twitter: @GettyVIP), create a tweet using the following keywords: ['actor', 'woman', 'wear', 'face', 'mask', 'stage', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 127 likes.","Nicholas Hoult, Charlize Theron, and Aisha Tyler on stage at a drive-in screening of ""Mad Max: Fury Road"" benefiting the Charlize Theron Africa Outreach Project at The Grove on July 31 in Los Angeles.

More 📸 #CharlizeTheron 👉 <hyperlink>
#MadMax #MadMaxFuryRoad <hyperlink>"
"As the social media manager for 'trane' (Twitter: @MitsubishiHVAC), create a tweet using the following keywords: ['close', 'meter', 'sticker']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","#NetZeroHomes: learn the best way to get to zero, from a program, product &amp; builder perspective. November 18th webinar details: <hyperlink> Pictured is 10 megawatt-hours of solar energy that are been exported to the grid at the home of our CEO, Mark Kuntz. <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['group', 'people', 'pose', 'photo', 'man', 'hold', 'trophy', 'pose', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 670 likes.","Survivors of the Parkland shooting were awarded the 2018 International Children's Peace Prize in Cape Town, South Africa. Archbishop Desmond Tutu presented the prize to David Hogg, Emma González, Jaclyn Corin and Matt Deitsch. <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['woman', 'wear', 'selfmade', 'woman', 't', 'shirt', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Linda Ikeji Partners ECOBANK To Empower Young Ladies <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnphilippines), create a tweet using the following keywords: ['man', 'woman', 'stand', 'stage', 'large', 'screen', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 1138 likes.","LOOK: World-class singers Darren Espanto <mention> and Morissette <mention> sing the Philippine rendition of the Disney classic song 'A Whole New World' | <mention>  

📸 <mention> <hyperlink>"
"As the social media manager for 'general motors' (Twitter: @MFG_GM), create a tweet using the following keywords: ['invest', 'missouri', 'invest']. Craft a message that aligns with our brand and is likely to receive at least 118 likes.",".<mention> is investing $1.5 billion into next-gen pickups with a majority going into our #GMWentzville plant to upgrade and prepare the facility. This investment will retain more than 4,000 good paying #USManufacturing jobs. Learn more here: <hyperlink> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['man', 'suit', 'tie', 'speak', 'microphone', 'tie', 'speak']. Craft a message that aligns with our brand and is likely to receive at least 907 likes.","Supreme Court Chief Justice John Roberts makes a rare statement to rebuke President Trump's criticism of ""Obama judge"" <hyperlink> <hyperlink>"
"As the social media manager for 'getty images' (Twitter: @GettySport), create a tweet using the following keywords: ['woman', 'hold', 'trophy', 'american', 'flag', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 120 likes.","Tournaments come and go, but the pictures are forever.

The best of the 2018 <mention>: <hyperlink> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['michael', 'bloomberg', 'big', 'fan', 'democratic', 'party']. Craft a message that aligns with our brand and is likely to receive at least 1309 likes.",Twitter suspends 70 pro-Bloomberg accounts for violating its rules <hyperlink> <hyperlink>
"As the social media manager for 'mayo clinic' (Twitter: @MayoClinic), create a tweet using the following keywords: ['woman', 'walk', 'dog', 'trail', 'walk']. Craft a message that aligns with our brand and is likely to receive at least 78 likes.",Many people are understandably anxious to get outdoors in light of quarantines. Do it safely with these tips for #outdoor activities: <hyperlink> #COVID19 <hyperlink>
"As the social media manager for 'desjardins' (Twitter: @LisaDNews), create a tweet using the following keywords: ['man', 'sit', 'chair', 'sign', 'say', 'block', 'access', 'staff', 'secretary', 'document', 'sit', 'say']. Craft a message that aligns with our brand and is likely to receive at least 961 likes.",ALSO NOW (yes it's wild here today): Sen Merkley announcing he has filed a lawsuit challenging Trump admin's lack of release of some Kavanaugh documents as violating balance of powers and unconstitutional. <hyperlink>
"As the social media manager for 'walmart' (Twitter: @Walmart), create a tweet using the following keywords: ['star', 'war', 'force', 'awaken', 'war', 'awaken']. Craft a message that aligns with our brand and is likely to receive at least 20 likes.","We got a sneak peek at Star Wars Jedi: Fallen Order at #E32019, and we can already feel The Force flowing through us. Read about it on the blog and preorder today. <hyperlink> <hyperlink>"
"As the social media manager for 'ups' (Twitter: @Nico_Lang), create a tweet using the following keywords: ['text', 'message', 'woman', 'write', 'experience', 'write']. Craft a message that aligns with our brand and is likely to receive at least 352 likes.","Here is <mention>'s most recent statement about JK Rowling, and as a quasi-award winning editor, I am partially qualified to say that the lede is *delicious.*

“It seems JK is good at only one thing: writing fantasy."" <hyperlink>"
"As the social media manager for 'williams' (Twitter: @KateWilliamsme), create a tweet using the following keywords: ['woman', 'hold', 'book', 'christmas', 'tree', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 153 likes.","Now in 1542, #MaryQueenofScots has been queen for nine days....but she’s only fifteen days old....and the lords whom her father, James V, could barely control while he was alive are circling to depose the baby queen. Read here. Last minute present! <hyperlink> <hyperlink>"
"As the social media manager for 'monster' (Twitter: @MHinfo_en), create a tweet using the following keywords: ['drawing', 'dinosaur', 'chinese', 'writing']. Craft a message that aligns with our brand and is likely to receive at least 567 likes.","Monster Hunter Rise Concept Art: Great Izuchi.
The leader of the pack inspired by the Japanese Yokai ""Kamaitachi"".
#MHRise <hyperlink>"
